CRC,Size (Bytes),Frame ID (Type),Sequential ID,RTC Send Datetime,RTC Log Datetime,Driver ID,Events Group,BMS-1 Voltage (Volt),BMS-1 Current (Ampere),BMS-2 Voltage (Volt),BMS-2 Current (Ampere),GPS Longitude,GPS Latitude,GPS HDOP,GPS Heading (Degree),Vehicle Speed (Km/hr),Odometer (Km),Signal Quality (%),Battery Voltage (mVolt),Range Approximation (Km),Battery Efficiency (Km/kWh),Trip A (Km),Trip B (Km),BMS-1 SoC (%),BMS-1 Temperature (Celcius),BMS-2 SoC (%),BMS-2 Temperature (Celcius)
7C802347,83,2 (Full),4.654,"Fri, 02 Oct 2020, 15:47:46","Fri, 02 Oct 2020, 15:46:14",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4336192,2,0,0,5.010,67,3.816,235,21,0,0,0,0.00,0,0.00
2BC2C3B4,83,2 (Full),4.655,"Fri, 02 Oct 2020, 15:47:48","Fri, 02 Oct 2020, 15:46:17",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934272,-7.4336232,2,0,1,5.010,67,3.798,232,24,0,0,0,0.00,0,0.00
36051924,83,2 (Full),4.656,"Fri, 02 Oct 2020, 15:47:51","Fri, 02 Oct 2020, 15:46:20",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934272,-7.4336184,2,0,0,5.010,67,3.798,229,27,0,0,0,0.00,0,0.00
CE27C259,83,2 (Full),4.657,"Fri, 02 Oct 2020, 15:47:57","Fri, 02 Oct 2020, 15:46:23",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934272,-7.4336112,2,0,0,5.010,67,3.780,226,30,0,0,0,0.00,0,0.00
D74E5830,83,2 (Full),4.658,"Fri, 02 Oct 2020, 15:47:59","Fri, 02 Oct 2020, 15:46:26",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934272,-7.4335992,2,0,0,5.010,64,3.798,223,33,0,0,0,0.00,0,0.00
A4298E2A,83,2 (Full),4.659,"Fri, 02 Oct 2020, 15:48:05","Fri, 02 Oct 2020, 15:46:29",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4335928,2,0,0,5.010,64,3.816,220,36,0,0,0,0.00,0,0.00
FEEDC0C5,83,2 (Full),4.660,"Fri, 02 Oct 2020, 15:48:07","Fri, 02 Oct 2020, 15:46:32",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4335944,2,0,0,5.010,67,3.762,217,39,0,0,0,0.00,0,0.00
8FAA3F13,83,2 (Full),4.661,"Fri, 02 Oct 2020, 15:48:11","Fri, 02 Oct 2020, 15:46:35",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4335968,2,0,0,5.010,64,3.780,214,42,0,0,0,0.00,0,0.00
AF0773C4,83,2 (Full),4.662,"Fri, 02 Oct 2020, 15:48:13","Fri, 02 Oct 2020, 15:46:38",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.433596,2,0,0,5.010,67,3.780,211,45,0,0,0,0.00,0,0.00
6F15ED74,83,2 (Full),4.663,"Fri, 02 Oct 2020, 15:48:16","Fri, 02 Oct 2020, 15:46:41",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4335944,2,0,0,5.010,67,3.780,208,48,0,0,0,0.00,0,0.00
C7665106,83,2 (Full),4.664,"Fri, 02 Oct 2020, 15:48:21","Fri, 02 Oct 2020, 15:46:44",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4335928,2,0,0,5.010,64,3.816,205,51,0,0,0,0.00,0,0.00
0D63D644,83,2 (Full),4.665,"Fri, 02 Oct 2020, 15:48:24","Fri, 02 Oct 2020, 15:46:47",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4335896,2,0,0,5.010,64,3.798,202,54,0,0,0,0.00,0,0.00
9088927B,83,2 (Full),4.666,"Fri, 02 Oct 2020, 15:48:29","Fri, 02 Oct 2020, 15:46:50",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4335936,2,0,0,5.010,64,3.798,199,57,0,0,0,0.00,0,0.00
59617C9E,83,2 (Full),4.667,"Fri, 02 Oct 2020, 15:48:31","Fri, 02 Oct 2020, 15:46:53",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4336016,2,0,0,5.010,64,3.780,196,60,0,0,0,0.00,0,0.00
9680C221,83,2 (Full),4.668,"Fri, 02 Oct 2020, 15:48:36","Fri, 02 Oct 2020, 15:46:56",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4336016,2,0,0,5.010,58,3.798,193,63,0,0,0,0.00,0,0.00
51C3FF7B,83,2 (Full),4.669,"Fri, 02 Oct 2020, 15:48:39","Fri, 02 Oct 2020, 15:46:59",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.693376,-7.4336016,2,0,0,5.010,67,3.744,190,66,0,0,0,0.00,0,0.00
BE5DDE29,83,2 (Full),4.670,"Fri, 02 Oct 2020, 15:48:41","Fri, 02 Oct 2020, 15:47:02",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.693376,-7.4335992,2,0,0,5.010,70,3.816,187,69,0,0,0,0.00,0,0.00
0B1B513C,83,2 (Full),4.671,"Fri, 02 Oct 2020, 15:48:43","Fri, 02 Oct 2020, 15:47:05",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4336352,2,0,4,5.010,70,3.798,184,72,0,0,0,0.00,0,0.00
016AF957,83,2 (Full),4.672,"Fri, 02 Oct 2020, 15:48:46","Fri, 02 Oct 2020, 15:47:08",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,64,3.798,181,75,0,0,0,0.00,0,0.00
85ABDC6F,83,2 (Full),4.673,"Fri, 02 Oct 2020, 15:48:48","Fri, 02 Oct 2020, 15:47:11",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,67,3.780,178,78,0,0,0,0.00,0,0.00
75137A17,83,2 (Full),4.674,"Fri, 02 Oct 2020, 15:48:51","Fri, 02 Oct 2020, 15:47:14",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,67,3.762,175,81,0,0,0,0.00,0,0.00
50689789,83,2 (Full),4.675,"Fri, 02 Oct 2020, 15:48:53","Fri, 02 Oct 2020, 15:47:17",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,64,3.798,172,84,0,0,0,0.00,0,0.00
7EA79BAE,83,2 (Full),4.676,"Fri, 02 Oct 2020, 15:48:56","Fri, 02 Oct 2020, 15:47:20",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.69344,-7.4336448,2,0,0,5.010,70,3.816,169,87,0,0,0,0.00,0,0.00
9BB0942F,83,2 (Full),4.677,"Fri, 02 Oct 2020, 15:49:01","Fri, 02 Oct 2020, 15:47:23",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4336376,2,0,0,5.010,67,3.798,166,90,0,0,0,0.00,0,0.00
4E0B3A2E,83,2 (Full),4.678,"Fri, 02 Oct 2020, 15:49:03","Fri, 02 Oct 2020, 15:47:26",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.693376,-7.4336336,2,0,0,5.010,70,3.798,163,93,0,0,0,0.00,0,0.00
301DDEE9,83,2 (Full),4.679,"Fri, 02 Oct 2020, 15:49:09","Fri, 02 Oct 2020, 15:47:29",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933504,-7.43362,2,0,2,5.010,67,3.816,160,96,0,0,0,0.00,0,0.00
E352E3AF,83,2 (Full),4.680,"Fri, 02 Oct 2020, 15:49:11","Fri, 02 Oct 2020, 15:47:32",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933248,-7.4336256,2,0,1,5.010,70,3.780,157,99,0,0,0,0.00,0,0.00
378AE268,83,2 (Full),4.681,"Fri, 02 Oct 2020, 15:49:16","Fri, 02 Oct 2020, 15:47:35",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933248,-7.433616,2,0,0,5.010,70,3.798,154,102,0,0,0,0.00,0,0.00
453233FB,83,2 (Full),4.682,"Fri, 02 Oct 2020, 15:49:19","Fri, 02 Oct 2020, 15:47:38",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933504,-7.4336032,2,0,0,5.010,64,3.798,151,105,0,0,0,0.00,0,0.00
5C03F24C,83,2 (Full),4.683,"Fri, 02 Oct 2020, 15:49:23","Fri, 02 Oct 2020, 15:47:41",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4335712,2,0,3,5.010,70,3.798,148,108,0,0,0,0.00,0,0.00
21B67960,83,2 (Full),4.684,"Fri, 02 Oct 2020, 15:49:25","Fri, 02 Oct 2020, 15:47:44",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934272,-7.4335744,2,0,0,5.010,64,3.798,145,111,0,0,0,0.00,0,0.00
5C6B552A,83,2 (Full),4.685,"Fri, 02 Oct 2020, 15:49:28","Fri, 02 Oct 2020, 15:47:47",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934528,-7.4335712,2,0,1,5.010,74,3.762,142,114,0,0,0,0.00,0,0.00
