BMS-2 Temperature (Celcius),BMS-2 SoC (%),BMS-1 Temperature (Celcius),BMS-1 SoC (%),Trip B (Km),Trip A (Km),Battery Efficiency (Km/kWh),Range Approximation (Km),Battery Voltage (mVolt),Signal Quality (%),Odometer (Km),Vehicle Speed (Km/hr),GPS Heading (Degree),GPS HDOP,GPS Latitude,GPS Longitude,BMS-2 Current (Ampere),BMS-2 Voltage (Volt),BMS-1 Current (Ampere),BMS-1 Voltage (Volt),Events Group,Driver ID,RTC Log Datetime,RTC Send Datetime,Sequential ID,Frame ID (Type),Size (Bytes),CRC
0.00,0,0.00,0,0,0,239,17,3.888,83,5.073,22,352,1,-7.2695088,112.796544,0.00,0.00,0.00,0.00,0000000000000060,NONE,"Wed, 07 Oct 2020, 16:07:07","Wed, 07 Oct 2020, 16:13:12",7.318,2 (Full),83,C4123885
0.00,0,0.00,0,0,0,236,20,3.870,83,5.073,30,348,1,-7.2697312,112.7965824,0.00,0.00,0.00,0.00,0000000000000060,NONE,"Wed, 07 Oct 2020, 16:07:04","Wed, 07 Oct 2020, 16:13:09",7.317,2 (Full),83,D0BD1FE1
0.00,0,0.00,0,0,0,233,23,3.888,87,5.073,32,352,1,-7.269992,112.7966464,0.00,0.00,0.00,0.00,0000000000000060,NONE,"Wed, 07 Oct 2020, 16:07:01","Wed, 07 Oct 2020, 16:13:05",7.316,2 (Full),83,A85EFBFD
0.00,0,0.00,0,0,0,230,26,3.888,83,5.072,32,346,1,-7.2702536,112.796672,0.00,0.00,0.00,0.00,0000000000000060,NONE,"Wed, 07 Oct 2020, 16:06:58","Wed, 07 Oct 2020, 16:13:02",7.315,2 (Full),83,8E8B2797
0.00,0,0.00,0,0,0,227,29,3.888,87,5.072,25,348,1,-7.2704928,112.796736,0.00,0.00,0.00,0.00,0000000000000060,NONE,"Wed, 07 Oct 2020, 16:06:55","Wed, 07 Oct 2020, 16:12:59",7.314,2 (Full),83,714AAAF4
0.00,0,0.00,0,0,0,224,32,3.888,83,5.072,24,348,1,-7.2707224,112.7967744,0.00,0.00,0.00,0.00,0000000000000060,NONE,"Wed, 07 Oct 2020, 16:06:52","Wed, 07 Oct 2020, 16:12:57",7.313,2 (Full),83,96EBF500
0.00,0,0.00,0,0,0,221,35,3.888,70,5.072,30,346,1,-7.270932,112.7968256,0.00,0.00,0.00,0.00,0000000000000060,NONE,"Wed, 07 Oct 2020, 16:06:49","Wed, 07 Oct 2020, 16:12:54",7.312,2 (Full),83,33140036
0.00,0,0.00,0,0,0,218,38,3.870,70,5.072,32,348,1,-7.2711792,112.7968768,0.00,0.00,0.00,0.00,0000000000000060,NONE,"Wed, 07 Oct 2020, 16:06:46","Wed, 07 Oct 2020, 16:12:49",7.311,2 (Full),83,AC83B334
0.00,0,0.00,0,0,0,215,41,3.888,77,5.072,41,342,1,-7.271448,112.7969536,0.00,0.00,0.00,0.00,0000000000000060,NONE,"Wed, 07 Oct 2020, 16:06:43","Wed, 07 Oct 2020, 16:12:46",7.310,2 (Full),83,62E19809
0.00,0,0.00,0,0,0,212,44,3.888,80,5.072,42,344,1,-7.2717824,112.797056,0.00,0.00,0.00,0.00,0000000000000060,NONE,"Wed, 07 Oct 2020, 16:06:40","Wed, 07 Oct 2020, 16:12:43",7.309,2 (Full),83,EED8144D
