BMS-2 Temperature (Celcius),BMS-2 SoC (%),BMS-1 Temperature (Celcius),BMS-1 SoC (%),Trip B (Km),Trip A (Km),Battery Efficiency (Km/kWh),Range Approximation (Km),Battery Voltage (mVolt),Signal Quality (%),Odometer2 (m),Odometer (Km),Vehicle Speed (Km/hr),GPS Heading (Degree),GPS VDOP,GPS HDOP,GPS Altitude (m),GPS Latitude,GPS Longitude,BMS-2 Current (Ampere),BMS-2 Voltage (Volt),BMS-1 Current (Ampere),BMS-1 Voltage (Volt),Events Group,Driver ID,RTC Log Datetime,RTC Send Datetime,Sequential ID,Frame ID (Type),Size (Bytes),CRC
0.00,0,0.00,0,0,0,65,191,3.960,51,19.431,5.129,0,0,23,23,0,0,0,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:56:14","Tue, 13 Oct 2020, 14:56:15",20.344,2 (Full),92,2B107BB2
0.00,0,0.00,0,0,0,60,196,3.960,58,19.431,5.129,0,0,23,23,0,0,0,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:56:09","Tue, 13 Oct 2020, 14:56:09",20.343,2 (Full),92,CAE9E022
0.00,0,0.00,0,0,0,55,201,3.960,58,19.431,5.129,0,0,23,23,0,0,0,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:56:04","Tue, 13 Oct 2020, 14:56:05",20.342,2 (Full),92,CFF3B5DF
0.00,0,0.00,0,0,0,50,206,3.960,54,19.431,5.129,7,0,1,3,4.3,-7.433428,112.6938496,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:59","Tue, 13 Oct 2020, 14:55:59",20.341,2 (Full),92,B3AED4DF
0.00,0,0.00,0,0,0,45,211,3.960,45,19.431,5.129,0,0,23,23,0,0,0,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:54","Tue, 13 Oct 2020, 14:55:55",20.340,2 (Full),92,8493850D
0.00,0,0.00,0,0,0,40,216,3.960,48,19.431,5.129,6,0,3,1,4.2,-7.433532,112.6936704,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:49","Tue, 13 Oct 2020, 14:55:50",20.339,2 (Full),92,7D4F8978
0.00,0,0.00,0,0,0,35,221,3.960,38,19.431,5.129,2,0,2,1,4.1,-7.4336008,112.6936064,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:44","Tue, 13 Oct 2020, 14:55:44",20.338,2 (Full),92,4DE0E261
0.00,0,0.00,0,0,0,30,226,3.960,67,19.431,5.129,2,0,2,1,3.9,-7.433612,112.6935296,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:39","Tue, 13 Oct 2020, 14:55:39",20.337,2 (Full),92,310AF984
0.00,0,0.00,0,0,0,25,231,3.960,61,19.431,5.129,2,268,2,1,3.9,-7.433616,112.6935296,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:34","Tue, 13 Oct 2020, 14:55:35",20.336,2 (Full),92,0C0D52F2
0.00,0,0.00,0,0,0,20,236,3.978,74,19.431,5.129,0,0,1,1,3.7,-7.4336272,112.693568,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:29","Tue, 13 Oct 2020, 14:55:29",20.335,2 (Full),92,39344B9C
0.00,0,0.00,0,0,0,15,241,3.978,74,19.431,5.129,7,318,2,1,3.4,-7.4336536,112.693568,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:24","Tue, 13 Oct 2020, 14:55:25",20.334,2 (Full),92,0AC9F8B8
0.00,0,0.00,0,0,0,10,246,3.978,74,19.431,5.129,8,326,2,1,3,-7.4336976,112.6936064,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:19","Tue, 13 Oct 2020, 14:55:20",20.333,2 (Full),92,79C5AE5A
0.00,0,0.00,0,0,0,5,251,3.978,70,19.431,5.129,15,320,2,1,3,-7.4338592,112.6937216,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:14","Tue, 13 Oct 2020, 14:55:15",20.332,2 (Full),92,E0862F82
0.00,0,0.00,0,0,0,0,0,3.978,61,19.431,5.129,6,10,2,1,3.3,-7.4339856,112.6938624,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:09","Tue, 13 Oct 2020, 14:55:09",20.331,2 (Full),92,CD2748DE
0.00,0,0.00,0,0,0,251,5,3.978,58,19.431,5.129,3,0,2,1,3.4,-7.4340344,112.6938496,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:55:04","Tue, 13 Oct 2020, 14:55:05",20.330,2 (Full),92,1BA1DF87
0.00,0,0.00,0,0,0,246,10,3.978,58,19.431,5.129,0,0,2,1,3.1,-7.4340688,112.6938368,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:59","Tue, 13 Oct 2020, 14:55:00",20.329,2 (Full),92,9C44D264
0.00,0,0.00,0,0,0,241,15,3.978,51,19.431,5.129,0,0,2,1,3.3,-7.4340688,112.6938368,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:54","Tue, 13 Oct 2020, 14:54:55",20.328,2 (Full),92,60D28DC7
0.00,0,0.00,0,0,0,236,20,3.960,51,19.431,5.129,0,0,2,1,3.3,-7.4340688,112.6938368,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:49","Tue, 13 Oct 2020, 14:54:49",20.327,2 (Full),92,35D1815B
0.00,0,0.00,0,0,0,231,25,3.978,54,19.431,5.129,0,0,2,1,3.1,-7.4340776,112.6938368,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:44","Tue, 13 Oct 2020, 14:54:45",20.326,2 (Full),92,8AB80EBE
0.00,0,0.00,0,0,0,226,30,3.960,51,19.431,5.129,0,0,2,1,2.9,-7.4340864,112.6938112,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:39","Tue, 13 Oct 2020, 14:54:39",20.325,2 (Full),92,E81E0AB7
0.00,0,0.00,0,0,0,221,35,3.960,51,19.431,5.129,0,0,2,1,2.8,-7.434088,112.6938112,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:34","Tue, 13 Oct 2020, 14:54:35",20.324,2 (Full),92,7FCCE985
0.00,0,0.00,0,0,0,216,40,3.978,54,19.431,5.129,0,0,2,1,2.8,-7.4340888,112.6938112,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:29","Tue, 13 Oct 2020, 14:54:29",20.323,2 (Full),92,08B5018A
0.00,0,0.00,0,0,0,211,45,3.978,51,19.431,5.129,0,0,2,1,2.8,-7.4340888,112.6938112,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:24","Tue, 13 Oct 2020, 14:54:25",20.322,2 (Full),92,91BDBC50
0.00,0,0.00,0,0,0,206,50,3.978,54,19.431,5.129,0,0,2,1,2.8,-7.4340904,112.6938112,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:19","Tue, 13 Oct 2020, 14:54:20",20.321,2 (Full),92,27D53C2A
0.00,0,0.00,0,0,0,201,55,3.978,54,19.431,5.129,0,0,2,1,2.8,-7.4340872,112.6938112,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:14","Tue, 13 Oct 2020, 14:54:14",20.320,2 (Full),92,913F00C7
0.00,0,0.00,0,0,0,196,60,3.978,51,19.431,5.129,0,0,2,1,2.8,-7.4340888,112.6938112,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:09","Tue, 13 Oct 2020, 14:54:10",20.319,2 (Full),92,FA77E8CA
0.00,0,0.00,0,0,0,191,65,3.978,48,19.431,5.129,0,0,2,1,2.8,-7.4340904,112.6937984,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:54:04","Tue, 13 Oct 2020, 14:54:04",20.318,2 (Full),92,9E90D9BE
0.00,0,0.00,0,0,0,186,70,3.978,51,19.431,5.129,0,0,2,1,2.7,-7.4340912,112.6937984,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:59","Tue, 13 Oct 2020, 14:54:00",20.317,2 (Full),92,BE319A77
0.00,0,0.00,0,0,0,181,75,3.978,51,19.431,5.129,0,0,2,1,2.7,-7.434092,112.6938112,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:54","Tue, 13 Oct 2020, 14:53:54",20.316,2 (Full),92,CFBE46FD
0.00,0,0.00,0,0,0,176,80,3.978,54,19.431,5.129,0,0,2,1,2.5,-7.4340984,112.6937984,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:49","Tue, 13 Oct 2020, 14:53:49",20.315,2 (Full),92,472D6B56
0.00,0,0.00,0,0,0,171,85,3.978,54,19.431,5.129,0,0,2,1,2.4,-7.4341048,112.6937984,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:44","Tue, 13 Oct 2020, 14:53:45",20.314,2 (Full),92,425C7A53
0.00,0,0.00,0,0,0,166,90,3.978,54,19.431,5.129,0,0,2,1,2.1,-7.4341144,112.6937728,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:39","Tue, 13 Oct 2020, 14:53:40",20.313,2 (Full),92,1AEB7DE6
0.00,0,0.00,0,0,0,161,95,3.978,54,19.431,5.129,0,0,2,1,1.7,-7.4341296,112.69376,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:34","Tue, 13 Oct 2020, 14:53:35",20.312,2 (Full),92,60137213
0.00,0,0.00,0,0,0,156,100,3.978,51,19.431,5.129,0,0,3,2,1.6,-7.4341472,112.6937472,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:29","Tue, 13 Oct 2020, 14:53:30",20.311,2 (Full),92,260E93FD
